Source,Voltage,Current,Power (Watts)
Inv1-S3-Module1 11-4-2022 11-42 AM (GMT+5),5.10,17.77,90.7
,6.57,17.75,116.7
,7.49,17.73,132.9
,8.38,17.72,148.5
,9.27,17.72,164.2
,10.22,17.71,181.0
,11.07,17.71,196.1
,11.96,17.70,211.8
,12.85,17.70,227.4
,13.77,17.69,243.6
,14.63,17.68,258.6
,15.54,17.67,274.6
,16.40,17.65,289.5
,17.29,17.61,304.5
,18.18,17.58,319.6
,19.10,17.55,335.2
,19.95,17.54,349.9
,20.78,17.52,364.0
,21.67,17.50,379.2
,22.49,17.47,392.9
,23.23,17.33,402.5
,23.99,17.10,410.1
,24.69,16.79,414.5
,25.36,16.40,415.9
,25.93,15.95,413.5
,26.53,15.42,409.1
,27.05,14.84,401.3
,27.59,14.21,392.1
,28.01,13.56,379.9
,28.43,12.90,366.6
,28.81,12.22,352.1
,29.17,11.56,337.1
,29.53,10.90,321.8
,29.83,10.26,306.1
,30.06,9.64,289.9
,30.39,9.05,275.0
,30.60,8.49,259.8
,30.83,7.96,245.3
,31.01,7.45,231.2
,31.25,6.98,218.0
,31.39,6.53,205.0
,31.54,6.11,192.6
,31.66,5.72,180.9
,31.80,5.35,170.1
,32.01,5.01,160.3
,32.07,4.69,150.3
,32.16,4.39,141.1
,32.28,4.11,132.8
,32.36,3.86,124.9
,32.45,3.62,117.5
,32.57,3.39,110.5
,32.60,3.19,103.9
,32.66,2.99,97.7
,32.75,2.81,92.1
,32.80,2.65,86.9
,32.89,2.49,82.0
,32.89,2.35,77.2
,32.98,2.21,72.8
,32.98,2.08,68.7
,33.01,1.96,64.9
,33.07,1.85,61.2
,33.10,1.75,57.9
,33.13,1.65,54.8
,33.22,1.56,51.7
,33.18,1.48,49.0
,33.21,1.39,46.2
,33.24,1.32,43.7
,33.27,1.24,41.4
,33.27,1.18,39.2
,33.33,1.11,37.1
,33.36,1.05,35.1
,33.36,1.00,33.3
,33.36,0.94,31.5
,33.36,0.89,29.8
,33.39,0.84,28.2
,33.45,0.80,26.7
,33.42,0.76,25.3
,33.45,0.72,24.1
,33.45,0.68,22.7
,33.48,0.65,21.7
,33.48,0.61,20.5
,33.45,0.58,19.4
,33.51,0.55,18.4
,33.54,0.52,17.5
,33.54,0.49,16.6
,33.48,0.47,15.7
,33.57,0.45,15.0
,33.51,0.43,14.2
,33.54,0.40,13.4
,33.57,0.38,12.7
,33.54,0.36,12.0
,33.57,0.34,11.4
,33.63,0.31,10.5
,33.57,0.30,10.1
,33.60,0.29,9.7
,33.60,0.28,9.3
,33.56,0.27,8.9
,33.63,0.25,8.5
,33.56,0.24,8.1
,33.63,0.23,7.8
,,,
Inv1-S3-Module10 11-4-2022 11-50 AM (GMT+5).csv,5.43,17.11,92.9
,6.90,17.10,118.0
,7.85,17.10,134.2
,8.71,17.09,148.8
,9.63,17.09,164.5
,10.55,17.09,180.2
,11.49,17.08,196.3
,12.32,17.08,210.4
,13.30,17.07,227.1
,14.16,17.07,241.6
,15.05,17.06,256.6
,15.96,17.05,272.2
,16.88,17.04,287.8
,17.77,17.04,302.8
,18.66,17.03,317.9
,19.55,17.02,332.7
,20.40,17.01,347.1
,21.29,16.99,361.8
,22.18,16.95,375.9
,22.97,16.86,387.3
,23.80,16.69,397.3
,24.53,16.46,403.8
,25.23,16.16,407.7
,25.87,15.78,408.2
,26.53,15.32,406.5
,27.14,14.79,401.5
,27.68,14.21,393.3
,28.13,13.59,382.3
,28.58,12.94,369.7
,29.00,12.27,355.8
,29.42,11.60,341.2
,29.77,10.93,325.6
,30.07,10.29,309.4
,30.40,9.66,293.6
,30.70,9.05,277.7
,30.96,8.47,262.4
,31.17,7.92,246.9
,31.38,7.40,232.3
,31.58,6.91,218.4
,31.76,6.46,205.1
,31.94,6.03,192.5
,32.05,5.62,180.2
,32.20,5.25,169.0
,32.35,4.90,158.5
,32.44,4.58,148.5
,32.55,4.27,139.1
,32.67,3.99,130.5
,32.82,3.74,122.8
,32.85,3.50,114.9
,32.91,3.27,107.6
,32.99,3.07,101.3
,33.05,2.87,95.0
,33.11,2.69,89.2
,33.20,2.53,84.0
,33.26,2.38,79.0
,33.29,2.23,74.3
,33.35,2.10,70.0
,33.41,1.97,65.9
,33.41,1.86,62.1
,33.50,1.75,58.6
,33.46,1.65,55.2
,33.52,1.56,52.2
,33.52,1.46,49.0
,33.58,1.38,46.3
,33.61,1.30,43.8
,33.67,1.23,41.3
,33.70,1.16,39.1
,33.73,1.09,36.8
,33.70,1.03,34.8
,33.76,0.97,32.8
,33.76,0.92,31.0
,33.76,0.87,29.3
,33.82,0.82,27.7
,33.82,0.77,26.2
,33.82,0.73,24.7
,33.79,0.70,23.5
,33.85,0.65,22.2
,33.82,0.62,21.0
,33.85,0.58,19.8
,33.91,0.55,18.8
,33.84,0.53,17.8
,33.87,0.50,16.8
,33.90,0.47,16.1
,33.93,0.44,15.0
,33.93,0.42,14.3
,33.93,0.40,13.5
,33.90,0.38,12.8
