DateTime,"A Raymond Fasteners Pvt. Ltd Site - Measured AC Power, avg (kW)",Inverter01MeasuredDCVoltage1,"Inverter-01 - Measured DC Voltage 2, avg (V)",Inverter01MeasuredDCCurrent1,"Inverter-01 - Measured DC Current 2, avg (A)"
12-02-2023 00:00,0,0,0,0,0
12-02-2023 00:05,0,0,0,0,0
12-02-2023 00:10,0,0,0,0,0
12-02-2023 00:15,0,0,0,0,0
12-02-2023 00:20,0,0,0,0,0
12-02-2023 00:25,0,0,0,0,0
12-02-2023 00:30,0,0,0,0,0
12-02-2023 00:35,0,0,0,0,0
12-02-2023 00:40,0,0,0,0,0
12-02-2023 00:45,0,0,0,0,0
12-02-2023 00:50,0,0,0,0,0
12-02-2023 00:55,0,0,0,0,0
12-02-2023 01:00,0,0,0,0,0
12-02-2023 01:05,0,0,0,0,0
12-02-2023 01:10,0,0,0,0,0
12-02-2023 01:15,0,0,0,0,0
12-02-2023 01:20,0,0,0,0,0
12-02-2023 01:25,0,0,0,0,0
12-02-2023 01:30,0,0,0,0,0
12-02-2023 01:35,0,0,0,0,0
12-02-2023 01:40,0,0,0,0,0
12-02-2023 01:45,0,0,0,0,0
12-02-2023 01:50,0,0,0,0,0
12-02-2023 01:55,0,0,0,0,0
12-02-2023 02:00,0,0,0,0,0
12-02-2023 02:05,0,0,0,0,0
12-02-2023 02:10,0,0,0,0,0
12-02-2023 02:15,0,0,0,0,0
12-02-2023 02:20,0,0,0,0,0
12-02-2023 02:25,0,0,0,0,0
12-02-2023 02:30,0,0,0,0,0
12-02-2023 02:35,0,0,0,0,0
12-02-2023 02:40,0,0,0,0,0
12-02-2023 02:45,0,0,0,0,0
12-02-2023 02:50,0,0,0,0,0
12-02-2023 02:55,0,0,0,0,0
12-02-2023 03:00,0,0,0,0,0
12-02-2023 03:05,0,0,0,0,0
12-02-2023 03:10,0,0,0,0,0
12-02-2023 03:15,0,0,0,0,0
12-02-2023 03:20,0,0,0,0,0
12-02-2023 03:25,0,0,0,0,0
12-02-2023 03:30,0,0,0,0,0
12-02-2023 03:35,0,0,0,0,0
12-02-2023 03:40,0,0,0,0,0
12-02-2023 03:45,0,0,0,0,0
12-02-2023 03:50,0,0,0,0,0
12-02-2023 03:55,0,0,0,0,0
12-02-2023 04:00,0,0,0,0,0
12-02-2023 04:05,0,0,0,0,0
12-02-2023 04:10,0,0,0,0,0
12-02-2023 04:15,0,0,0,0,0
12-02-2023 04:20,0,0,0,0,0
12-02-2023 04:25,0,0,0,0,0
12-02-2023 04:30,0,0,0,0,0
12-02-2023 04:35,0,0,0,0,0
12-02-2023 04:40,0,0,0,0,0
12-02-2023 04:45,0,0,0,0,0
12-02-2023 04:50,0,0,0,0,0
12-02-2023 04:55,0,0,0,0,0
12-02-2023 05:00,0,0,0,0,0
12-02-2023 05:05,0,0,0,0,0
12-02-2023 05:10,0,0,0,0,0
12-02-2023 05:15,0,0,0,0,0
12-02-2023 05:20,0,0,0,0,0
12-02-2023 05:25,0,0,0,0,0
12-02-2023 05:30,0,0,0,0,0
12-02-2023 05:35,0,0,0,0,0
12-02-2023 05:40,0,0,0,0,0
12-02-2023 05:45,0,0,0,0,0
12-02-2023 05:50,0,0,0,0,0
12-02-2023 05:55,0,0,0,0,0
12-02-2023 06:00,0,0,0,0,0
12-02-2023 06:05,0,0,0,0,0
12-02-2023 06:10,0,0,0,0,0
12-02-2023 06:15,0,0,0,0,0
12-02-2023 06:20,0,0,0,0,0
12-02-2023 06:25,0,0,0,0,0
12-02-2023 06:30,0,0,0,0,0
12-02-2023 06:35,0,0,0,0,0
12-02-2023 06:40,0,0,0,0,0
