Source,Voltage,Current
Inv1-S3-Module1 11-4-2022 11-42 AM (GMT+5),5.1,17.77
,6.57,17.75
,7.49,17.73
,8.38,17.72
,9.27,17.72
,10.22,17.71
,11.07,17.71
,11.96,17.7
,12.85,17.7
,13.77,17.69
,14.63,17.68
,15.54,17.67
,16.4,17.65
,17.29,17.61
,18.18,17.58
,19.1,17.55
,19.95,17.54
,20.78,17.52
,21.67,17.5
,22.49,17.47
,23.23,17.33
,23.99,17.1
,24.69,16.79
,25.36,16.4
,25.93,15.95
,26.53,15.42
,27.05,14.84
,27.59,14.21
,28.01,13.56
,28.43,12.9
,28.81,12.22
,29.17,11.56
,29.53,10.9
,29.83,10.26
,30.06,9.64
,30.39,9.05
,30.6,8.49
,30.83,7.96
,31.01,7.45
,31.25,6.98
,31.39,6.53
,31.54,6.11
,31.66,5.72
,31.8,5.35
,32.01,5.01
,32.07,4.69
,32.16,4.39
,32.28,4.11
,32.36,3.86
,32.45,3.62
,32.57,3.39
,32.6,3.19
,32.66,2.99
,32.75,2.81
,32.8,2.65
,32.89,2.49
,32.89,2.35
,32.98,2.21
,32.98,2.08
,33.01,1.96
,33.07,1.85
,33.1,1.75
,33.13,1.65
,33.22,1.56
,33.18,1.48
,33.21,1.39
,33.24,1.32
,33.27,1.24
,33.27,1.18
,33.33,1.11
,33.36,1.05
,33.36,1
,33.36,0.94
,33.36,0.89
,33.39,0.84
,33.45,0.8
,33.42,0.76
,33.45,0.72
,33.45,0.68
,33.48,0.65
,33.48,0.61
,33.45,0.58
,33.51,0.55
,33.54,0.52
,33.54,0.49
,33.48,0.47
,33.57,0.45
,33.51,0.43
,33.54,0.4
,33.57,0.38
,33.54,0.36
,33.57,0.34
,33.63,0.31
,33.57,0.3
,33.6,0.29
,33.6,0.28
,33.56,0.27
,33.63,0.25
,33.56,0.24
,33.63,0.23
,5.65,17.56
3435,5.65,17.56
3436,7.15,17.55
3437,8.07,17.55
3438,8.96,17.54
3439,9.91,17.53
3440,10.86,17.53
3441,11.75,17.52
3442,12.63,17.52
3443,13.58,17.51
3444,14.44,17.5
3445,15.33,17.5
3446,16.22,17.49
3447,17.13,17.49
3448,18.05,17.48
3449,19,17.47
3450,19.89,17.45
3451,20.78,17.43
3452,21.63,17.39
3453,22.46,17.31
3454,23.28,17.19
3455,24.02,17.02
3456,24.78,16.77
3457,25.54,16.45
3458,26.15,16.04
3459,26.78,15.56
3460,27.32,15.01
3461,27.87,14.41
3462,28.35,13.76
3463,28.83,13.1
3464,29.18,12.42
3465,29.57,11.74
3466,29.96,11.07
3467,30.23,10.42
3468,30.55,9.78
3469,30.85,9.18
3470,31.06,8.59
3471,31.35,8.04
3472,31.53,7.52
3473,31.71,7.03
3474,31.88,6.57
3475,32.09,6.13
3476,32.24,5.73
3477,32.36,5.35
3478,32.47,5
3479,32.62,4.67
3480,32.74,4.37
3481,32.83,4.09
3482,32.94,3.82
3483,33,3.59
3484,33.09,3.36
3485,33.15,3.14
3486,33.24,2.95
3487,33.27,2.77
3488,33.35,2.6
3489,33.41,2.44
3490,33.44,2.3
3491,33.47,2.16
3492,33.56,2.04
3493,33.59,1.92
3494,33.62,1.81
3495,33.68,1.7
3496,33.68,1.61
3497,33.74,1.51
3498,33.74,1.43
3499,33.73,1.35
3500,33.79,1.27
3501,33.82,1.2
3502,33.82,1.13
3503,33.85,1.07
3504,33.88,1.01
3505,33.91,0.96
3506,33.94,0.9
3507,33.97,0.85
3508,33.94,0.81
3509,33.94,0.77
3510,33.94,0.73
3511,33.97,0.69
3512,34,0.65
3513,34.03,0.61
3514,34.03,0.58
3515,34.03,0.55
3516,34.06,0.52
3517,34.09,0.5
3518,34.06,0.47
3519,34.09,0.44
3520,34.06,0.42
3521,34.09,0.4
3522,34.15,0.37
3523,34.06,0.35
3524,34.12,0.33
3525,34.12,0.31
3526,34.12,0.3
3527,34.15,0.28
3528,34.18,0.27
3529,34.12,0.26
3530,34.15,0.25
3531,34.15,0.24
3532,34.15,0.23
3533,34.18,0.22
3534,34.15,0.2
,4.71,17.84
3334,4.71,17.84
3335,6.33,17.83
3336,7.25,17.83
3337,8.17,17.82
3338,9.09,17.82
3339,9.97,17.81
3340,10.89,17.81
3341,11.81,17.8
3342,12.73,17.79
3343,13.62,17.79
3344,14.51,17.78
3345,15.49,17.77
3346,16.34,17.76
3347,17.26,17.75
3348,18.21,17.74
3349,19.04,17.74
3350,19.99,17.73
3351,20.84,17.72
3352,21.76,17.7
3353,22.59,17.67
3354,23.38,17.55
3355,24.14,17.36
3356,24.88,17.09
3357,25.54,16.73
3358,26.24,16.3
3359,26.82,15.79
3360,27.42,15.22
3361,27.96,14.59
3362,28.38,13.93
3363,28.83,13.25
3364,29.22,12.56
3365,29.61,11.87
3366,29.93,11.19
3367,30.26,10.53
3368,30.59,9.89
3369,30.82,9.28
3370,31.06,8.69
3371,31.33,8.13
3372,31.5,7.61
3373,31.71,7.11
3374,31.92,6.65
3375,32.03,6.22
3376,32.15,5.81
3377,32.36,5.43
3378,32.44,5.07
3379,32.62,4.75
3380,32.71,4.44
3381,32.83,4.15
3382,32.91,3.89
3383,33,3.64
3384,33.09,3.41
3385,33.15,3.2
3386,33.21,3.01
3387,33.27,2.83
3388,33.33,2.65
3389,33.38,2.49
3390,33.44,2.35
3391,33.47,2.21
3392,33.5,2.08
3393,33.53,1.96
3394,33.62,1.85
3395,33.62,1.75
3396,33.65,1.65
3397,33.71,1.55
3398,33.71,1.47
3399,33.73,1.38
3400,33.79,1.31
3401,33.82,1.24
3402,33.85,1.16
3403,33.85,1.1
3404,33.85,1.04
3405,33.88,0.99
3406,33.88,0.93
3407,33.91,0.88
3408,33.97,0.83
3409,34,0.79
3410,33.94,0.75
3411,33.94,0.71
3412,34,0.67
3413,33.97,0.64
3414,34.03,0.6
3415,34.06,0.57
3416,34,0.54
3417,34.03,0.52
3418,34,0.49
3419,34.06,0.46
3420,34.06,0.44
3421,34.09,0.42
3422,34.09,0.39
3423,34.09,0.37
3424,34.09,0.35
3425,34.15,0.33
